Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  57, time= 17.3s | Train: skip eval | Valid: time= 14.8s loss=1.305, TAw acc= 61.4% |
| Epoch  58, time= 16.6s | Train: skip eval | Valid: time= 13.8s loss=1.296, TAw acc= 60.7% |
| Epoch  59, time= 17.5s | Train: skip eval | Valid: time= 13.7s loss=1.295, TAw acc= 60.0% |
| Epoch  60, time= 16.5s | Train: skip eval | Valid: time= 13.8s loss=1.280, TAw acc= 62.1% |
| Epoch  61, time= 17.1s | Train: skip eval | Valid: time= 14.1s loss=1.274, TAw acc= 60.6% | lr=3.7e-03
| Epoch  62, time= 17.6s | Train: skip eval | Valid: time= 14.2s loss=1.247, TAw acc= 62.4% | *
| Epoch  63, time= 17.6s | Train: skip eval | Valid: time= 13.7s loss=1.269, TAw acc= 61.5% |
| Epoch  64, time= 18.6s | Train: skip eval | Valid: time= 14.6s loss=1.265, TAw acc= 61.3% |
| Epoch  65, time= 17.6s | Train: skip eval | Valid: time= 14.2s loss=1.267, TAw acc= 61.8% |
| Epoch  66, time= 17.6s | Train: skip eval | Valid: time= 14.0s loss=1.242, TAw acc= 62.1% | *
| Epoch  67, time= 17.7s | Train: skip eval | Valid: time= 13.9s loss=1.249, TAw acc= 62.0% |
| Epoch  68, time= 17.6s | Train: skip eval | Valid: time= 14.0s loss=1.233, TAw acc= 63.3% | *
| Epoch  69, time= 17.6s | Train: skip eval | Valid: time= 14.0s loss=1.251, TAw acc= 62.5% |
| Epoch  70, time= 17.5s | Train: skip eval | Valid: time= 13.8s loss=1.255, TAw acc= 62.0% |
| Epoch  71, time= 17.4s | Train: skip eval | Valid: time= 13.8s loss=1.221, TAw acc= 63.0% | *
| Epoch  72, time= 17.7s | Train: skip eval | Valid: time= 13.8s loss=1.238, TAw acc= 62.2% |
| Epoch  73, time= 17.4s | Train: skip eval | Valid: time= 14.9s loss=1.231, TAw acc= 62.2% |
| Epoch  74, time= 18.7s | Train: skip eval | Valid: time= 15.7s loss=1.253, TAw acc= 62.2% |
| Epoch  75, time= 19.2s | Train: skip eval | Valid: time= 15.2s loss=1.250, TAw acc= 61.9% |
